MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,value
11213,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11214,Bensonhurst - Bay Ridge,Brooklyn,.1
11215,Downtown - Heights - Slope,Brooklyn,.1
11216,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11217,Downtown - Heights - Slope,Brooklyn,.1
11218,Borough Park,Brooklyn,.1
11219,Borough Park,Brooklyn,.1
11220,Sunset Park,Brooklyn,.1
11221,Williamsburg - Bushwick,Brooklyn,.1
11222,Greenpoint,Brooklyn,.1
11223,Coney Island - Sheepshead Bay,Brooklyn,.1
11224,Coney Island - Sheepshead Bay,Brooklyn,.1
11225,East Flatbush - Flatbush,Brooklyn,.1
11226,East Flatbush - Flatbush,Brooklyn,.1
11228,Bensonhurst - Bay Ridge,Brooklyn,.1
11229,Coney Island - Sheepshead Bay,Brooklyn,.1
11230,Borough Park,Brooklyn,.1
11231,Downtown - Heights - Slope,Brooklyn,.1
11232,Sunset Park,Brooklyn,.1
11233,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11234,Canarsie - Flatlands,Brooklyn,.1
11235,Coney Island - Sheepshead Bay,Brooklyn,.1
11236,Canarsie - Flatlands,Brooklyn,.1
11237,Williamsburg - Bushwick,Brooklyn,.1
11238,Bedford Stuyvesant - Crown Heights,Brooklyn,.1
11239,Canarsie - Flatlands,Brooklyn,.1
11354,Flushing - Clearview,Queens,.1
11355,Flushing - Clearview,Queens,.1
11356,Flushing - Clearview,Queens,.1
11357,Flushing - Clearview,Queens,.1
11358,Flushing - Clearview,Queens,.1
11360,Flushing - Clearview,Queens,.1
11361,Bayside - Little Neck,Queens,.1
11362,Bayside - Little Neck,Queens,.1
11363,Bayside - Little Neck,Queens,.1
11364,Bayside - Little Neck,Queens,.1
11365,Fresh Meadows,Queens,.1
11366,Fresh Meadows,Queens,.1
11367,Fresh Meadows,Queens,.1
11368,West Queens,Queens,.1
11369,West Queens,Queens,.1
11370,West Queens,Queens,.1
11372,West Queens,Queens,.1
11373,West Queens,Queens,.1
11374,Ridgewood - Forest Hills,Queens,.1
11375,Ridgewood - Forest Hills,Queens,.1
11377,West Queens,Queens,.1
11378,West Queens,Queens,.1
11379,Ridgewood - Forest Hills,Queens,.1
11385,Ridgewood - Forest Hills,Queens,.1
11411,Southeast Queens,Queens,.1
11412,Jamaica,Queens,.1
11413,Southeast Queens,Queens,.1
11414,Southwest Queens,Queens,.1
11415,Southwest Queens,Queens,.1
11416,Southwest Queens,Queens,.1
11417,Southwest Queens,Queens,.1
11418,Southwest Queens,Queens,.1
11419,Southwest Queens,Queens,.1
11420,Southwest Queens,Queens,.1
11421,Southwest Queens,Queens,.1
11422,Southeast Queens,Queens,.1
11423,Jamaica,Queens,.1
11426,Southeast Queens,Queens,.1
11427,Southeast Queens,Queens,.1
11428,Southeast Queens,Queens,.1
11429,Southeast Queens,Queens,.1
11432,Jamaica,Queens,.1
11433,Jamaica,Queens,.1
11434,Jamaica,Queens,.1
11435,Jamaica,Queens,.1
11436,Jamaica,Queens,.1
11691,Rockaway,Queens,.1
11692,Rockaway,Queens,.1
11693,Rockaway,Queens,.1
11694,Rockaway,Queens,.1
11697,Rockaway,Queens,.1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
