END_DATE,MAX_DAILY_TEMP,HEAT_ED_VISIT_COUNT
2021-05-20,81,2
2021-05-21,77,1
2021-05-22,88,6
2021-05-23,88,7
2021-05-24,83,4
2021-05-25,72,0
2021-05-26,87,3
2021-05-27,83,2
2021-05-28,76,1
2021-05-29,53,0
2021-05-30,52,0
2021-05-31,71,0
2021-06-01,79,1
2021-06-02,76,0
2021-06-03,76,0
2021-06-04,80,2
2021-06-05,94,13
2021-06-06,95,15
2021-06-07,96,17
2021-06-08,96,10
2021-06-09,91,10
2021-06-10,87,4
2021-06-11,73,2
2021-06-12,71,0
2021-06-13,77,1
2021-06-14,74,1
2021-06-15,83,1
2021-06-16,77,0
2021-06-17,79,4
2021-06-18,86,3
2021-06-19,91,4
2021-06-20,88,6
2021-06-21,92,3
2021-06-22,82,2
2021-06-23,77,0
2021-06-24,78,0
2021-06-25,82,1
2021-06-26,88,0
2021-06-27,93,14
2021-06-28,98,21
2021-06-29,104,51
2021-06-30,100,65
2021-07-01,95,11
2021-07-02,78,4
2021-07-03,75,1
2021-07-04,79,4
2021-07-05,84,4
2021-07-06,96,17
2021-07-07,98,25
2021-07-08,89,10
2021-07-09,91,5
2021-07-10,84,3
2021-07-11,83,1
2021-07-12,85,4
2021-07-13,74,1
2021-07-14,93,7
2021-07-15,92,8
2021-07-16,98,25
2021-07-17,97,13
2021-07-18,87,1
2021-07-19,83,1
2021-07-20,89,3
2021-07-21,86,2
2021-07-22,83,1
2021-07-23,83,0
2021-07-24,83,2
2021-07-25,87,0
2021-07-26,90,4
2021-07-27,91,4
2021-07-28,82,3
2021-07-29,80,2
2021-07-30,85,3
2021-07-31,79,0
2021-08-01,78,2
2021-08-02,81,2
2021-08-03,79,1
2021-08-04,76,0
2021-08-05,82,1
2021-08-06,89,2
2021-08-07,89,1
2021-08-08,80,0
2021-08-09,80,1
2021-08-10,89,7
2021-08-11,97,20
2021-08-12,101,33
2021-08-13,98,25
2021-08-14,93,14
2021-08-15,85,1
2021-08-16,82,1
2021-08-17,83,2
2021-08-18,90,0
2021-08-19,92,4
2021-08-20,85,2
2021-08-21,86,2
2021-08-22,80,0
2021-08-23,88,2
2021-08-24,92,5
2021-08-25,94,6
2021-08-26,100,15
2021-08-27,100,14
2021-08-28,84,0
2021-08-29,76,3
2021-08-30,91,8
2021-08-31,87,3
2021-09-01,82,1
2021-09-02,78,0
2021-09-03,76,0
2021-09-04,81,0
2021-09-05,76,1
2021-09-06,85,3
2021-09-07,83,1
2021-09-08,88,2
2021-09-09,83,0
2021-09-10,76,0
2021-09-11,80,0
2021-09-12,86,1
2021-09-13,86,1
2021-09-14,81,1
2021-09-15,92,3
2021-09-16,81,0
2021-09-17,75,0
2021-09-18,86,4
2021-09-19,83,1
2021-09-20,76,1
2021-09-21,77,2
2021-09-22,83,0
