report_id,title,indicator_id,data_field_name,start_date,end_date,time_type,time,geo_entity_id,geo_join_id,geo_type,neighborhood,data_value,message
77,Outdoor Air and Health,383,Sulf383,2009-12-01,2010-03-01,Winter Seasonal,Winter 2009-10,102,102,UHF42,Northeast Bronx,3.37,
77,Outdoor Air and Health,383,Sulf383,2012-12-01,2013-03-01,Winter Seasonal,Winter 2012-13,102,102,UHF42,Northeast Bronx,1.53,
77,Outdoor Air and Health,375,Nitr375,2008-12-01,2009-12-01,Annual Average,Annual Average 2009,102,102,UHF42,Northeast Bronx,22.39,
77,Outdoor Air and Health,365,Fine365,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,102,102,UHF42,Northeast Bronx,9.11,
77,Outdoor Air and Health,365,Fine365,2012-12-01,2013-12-01,Annual Average,Annual Average 2013,102,102,UHF42,Northeast Bronx,8.73,
77,Outdoor Air and Health,642,Boil642,2015-01-01,2015-12-31,year,2015,102,102,UHF42,Northeast Bronx,33.3,
77,Outdoor Air and Health,365,Fine365,2013-12-01,2014-12-01,Annual Average,Annual Average 2014,102,102,UHF42,Northeast Bronx,9,
77,Outdoor Air and Health,386,Ozon386,2009-06-01,2009-09-01,Summer Seasonal,Summer 2009,102,102,UHF42,Northeast Bronx,26.82,
77,Outdoor Air and Health,645,Traf645,2016-01-01,2016-12-31,year,2016,102,102,UHF42,Northeast Bronx,1.5,
77,Outdoor Air and Health,643,Traf643,2016-01-01,2016-12-31,year,2016,102,102,UHF42,Northeast Bronx,17.1,
77,Outdoor Air and Health,639,PM2-639,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,47.87341656,
77,Outdoor Air and Health,657,PM2-657,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,57.70227751,
77,Outdoor Air and Health,365,Fine365,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,102,102,UHF42,Northeast Bronx,7.46,
77,Outdoor Air and Health,375,Nitr375,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,102,102,UHF42,Northeast Bronx,16.16,
77,Outdoor Air and Health,375,Nitr375,2019-01-01,2019-12-31,Annual Average,Annual Average 2019,102,102,UHF42,Northeast Bronx,14.67,
77,Outdoor Air and Health,639,PM2-639,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,77.3,
77,Outdoor Air and Health,648,PM2-648,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,152.6,
77,Outdoor Air and Health,653,O3-A653,2005-01-01,2007-12-31,other,2005-2007,102,102,UHF42,Northeast Bronx,114.5,
77,Outdoor Air and Health,651,PM2-651,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,16.2,
77,Outdoor Air and Health,652,O3-A652,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,5.4,
77,Outdoor Air and Health,653,O3-A653,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,79.3,
77,Outdoor Air and Health,659,O3-A659,2009-01-01,2011-12-31,other,2009-2011,102,102,UHF42,Northeast Bronx,42.2,
77,Outdoor Air and Health,375,Nitr375,2010-12-01,2011-12-01,Annual Average,Annual Average 2011,102,102,UHF42,Northeast Bronx,21.06,
77,Outdoor Air and Health,375,Nitr375,2011-12-01,2012-12-01,Annual Average,Annual Average 2012,102,102,UHF42,Northeast Bronx,20.02,
77,Outdoor Air and Health,365,Fine365,2009-12-01,2010-12-01,Annual Average,Annual Average 2010,102,102,UHF42,Northeast Bronx,9.65,
77,Outdoor Air and Health,640,Boil640,2015-01-01,2015-12-31,year,2015,102,102,UHF42,Northeast Bronx,1.6,
77,Outdoor Air and Health,386,Ozon386,2010-06-01,2010-09-01,Summer Seasonal,Summer 2010,102,102,UHF42,Northeast Bronx,33.96,
77,Outdoor Air and Health,646,Air 646,2011-01-01,2011-12-31,year,2011,102,102,UHF42,Northeast Bronx,1.4,
77,Outdoor Air and Health,365,Fine365,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,102,102,UHF42,Northeast Bronx,9.13,
77,Outdoor Air and Health,375,Nitr375,2015-01-01,2015-12-31,Annual Average,Annual Average 2015,102,102,UHF42,Northeast Bronx,19.52,
77,Outdoor Air and Health,650,PM2-650,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,14.23858546,
77,Outdoor Air and Health,651,PM2-651,2012-01-02,2014-12-31,other,2012-2014,102,102,UHF42,Northeast Bronx,12.96085012,
77,Outdoor Air and Health,375,Nitr375,2017-01-01,2017-12-31,Annual Average,Annual Average 2017,102,102,UHF42,Northeast Bronx,18.87,
77,Outdoor Air and Health,365,Fine365,2018-01-01,2018-12-31,Annual Average,Annual Average 2018,102,102,UHF42,Northeast Bronx,6.99,
77,Outdoor Air and Health,648,PM2-648,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,108.6,
77,Outdoor Air and Health,653,O3-A653,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,143,
77,Outdoor Air and Health,659,O3-A659,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,66.9,
77,Outdoor Air and Health,661,O3-A661,2015-01-01,2017-12-31,year,2015-2017,102,102,UHF42,Northeast Bronx,6.6,
