NTACODE,NTANAME,POV_PCT,PCT_BLACK_POP,GREENSPACE,SURFACETEMP,PCT_HOUSEHOLDS_AC,HVI_RANK,CD,HRI_HOSP_RATE,POV_TERT,GREENSPACE_TERT,SURFACETEMP_TERT,AC_TERT
BX33,Longwood,37,30.1,18.4,100.5,84.3,5,201,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX34,Melrose South-Mott Haven North,40.4,36.9,23.2,101.1,84.3,5,201,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX63,West Concourse,36.7,25.5,19.2,97.9,84.6,5,204,2.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX26,Highbridge,39.1,36.9,24,98.3,84.6,5,204,2.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX14,East Concourse-Concourse Village,36.1,39.6,15,99.2,84.6,5,204,2.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN33,East Harlem South,28.7,28.3,26.6,97.8,85.1,4,111,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN34,East Harlem North,38.3,41.5,27.8,98.2,85.1,5,111,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK64,Prospect Heights,11.6,26.6,24.2,96.6,86.5,3,308,2.3,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK61,Crown Heights North,26.1,68.3,25.2,97.8,86.5,5,308,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK21,Seagate-Coney Island,32.3,33.8,18.3,95.4,86.6,4,313,1.7,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK19,Brighton Beach,26.1,1,16.8,95.5,86.6,3,313,1.7,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK23,West Brighton,15.5,1.3,24.9,95.9,86.6,2,313,1.7,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK26,Gravesend,19.9,9.7,29.6,97.1,86.6,3,313,1.7,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX43,Norwood,35,17.7,29.5,95.8,87.3,4,207,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX30,Kingsbridge Heights,27.4,17.4,25.7,97.3,87.3,4,207,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX05,Bedford Park-Fordham North,33.6,19.3,17.3,97.4,87.3,4,207,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX07,Bronxdale,27.3,31.1,26.9,98.4,87.5,4,211,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX49,Pelham Parkway,17.3,16.4,35.2,99,87.5,3,211,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX31,Allerton-Pelham Gardens,12.3,34,31.6,100.3,87.5,4,211,1.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX37,Van Nest-Morris Park-Westchester Square,22.2,13.1,23.9,100.6,87.5,4,211,1.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN04,Hamilton Heights,24.9,34.1,30.6,95.1,87.8,3,109,1.7,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN09,Morningside Heights,21.8,15.3,38.3,96.2,87.8,2,109,1.7,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
MN06,Manhattanville,30.4,32.1,26.5,96.8,87.8,4,109,1.7,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK63,Crown Heights South,17.4,62.1,19.4,97,87.9,4,309,2.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK60,Prospect Lefferts Gardens-Wingate,21.6,72.3,21,97.8,87.9,4,309,2.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN60,Kew Gardens,11.5,6,45.8,98.1,88.1,2,409,1.3,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK77,Bushwick North,28.2,19.5,14.7,99.5,88.1,4,304,3.1,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK78,Bushwick South,26.6,35.2,18.6,100.7,88.1,5,304,3.1,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX22,North Riverdale-Fieldston-Riverdale,9.3,9.9,63.4,93.8,88.8,1,208,1.1,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK93,Starrett City,29.8,62.4,53.4,95.5,88.8,3,305,2.1,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX28,Van Cortlandt Village,26.5,20.9,26.8,95.6,88.8,3,208,1.1,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX29,Spuyten Duyvil-Kingsbridge,11.4,11.6,39.2,96,88.8,2,208,1.1,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
QN57,Lindenwood-Howard Beach,11.8,2.8,43.2,96.9,88.8,1,410,1,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX55,Soundview-Bruckner,33.2,28.4,24.5,98,88.8,4,209,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX08,West Farms-Bronx River,34.7,32.2,21.8,98.5,88.8,4,209,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX09,Soundview-Castle Hill-Clason Point-Harding Park,29.4,40.7,33.7,98.7,88.8,4,209,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BK83,Cypress Hills-City Line,24.2,32.2,22.5,99,88.8,4,305,2.1,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>"
BX46,Parkchester,15.8,43.2,34.5,99.1,88.8,4,209,2.3,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BX59,Westchester-Unionport,24.7,21.2,18.3,100.1,88.8,4,209,2.3,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK82,East New York,29.9,69.8,33.8,100.7,88.8,5,305,2.1,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK35,Stuyvesant Heights,27.4,67.8,26.6,98.4,89,5,303,2.4,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK75,Bedford,33.3,43.8,23,99.1,89,5,303,2.4,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
QN76,Baisley Park,11.8,70.8,35.5,101.7,89.3,4,412,1.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK95,Erasmus,18.8,84.4,15.6,98.6,89.8,5,317,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK96,Rugby-Remsen Village,18.1,91,17.5,99.6,89.8,5,317,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK91,East Flatbush-Farragut,13.4,91,21.1,100.5,89.8,5,317,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Less than most NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK09,Brooklyn Heights-Cobble Hill,8.6,4.6,27,95.7,90.2,2,302,1.9,"<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK68,Fort Greene,21,42.2,33.4,97.6,90.2,3,302,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK69,Clinton Hill,15.3,39.5,27.5,97.9,90.2,3,302,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,21.2,22.3,22.8,98.1,90.2,3,302,1.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK42,Flatbush,19.4,45.6,30.3,97.1,90.6,3,314,1.4,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
BK43,Midwood,23.4,5.4,28.8,100,90.6,3,314,1.4,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
SI08,Grymes Hill-Clifton-Fox Hills,19.7,31.9,45.7,95.5,90.7,2,501,2.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
SI37,Stapleton-Rosebank,22,21.7,53.6,96.4,90.7,2,501,2.9,"<span class=""badge badge-warning"">Higher than most NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
SI35,New Brighton-Silver Lake,14.9,9.8,47,96.6,90.7,1,501,2.9,"<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>","<span class=""badge badge-success"">More than most NYC neighborhoods</span>","<span class=""badge badge-success"">Lower than most NYC neighborhoods</span>","<span class=""badge badge-light"">In the middle of NYC neighborhoods</span>"
