FID,NTACode,BoroCode,BoroName,CountyFIPS,NTACode,NTAName,Avg_annavg_PM25,Avg_annavg_NO2,tertile_buildingemissions,tertile_buildingdensity,tertile_trafficdensity,tertile_industrial
18,BK38,3,Brooklyn,47,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,8.800624352,23.0504585,3,3,3,3
19,BK40,3,Brooklyn,47,BK40,Windsor Terrace,7.649527104,20.03891177,2,2,3,2
20,BK41,3,Brooklyn,47,BK41,Kensington-Ocean Parkway,7.5026195,19.51615152,3,3,2,2
21,BK42,3,Brooklyn,47,BK42,Flatbush,7.332201838,18.60147762,3,3,2,1
22,BK43,3,Brooklyn,47,BK43,Midwood,7.067428936,17.79676536,2,2,2,1
23,BK44,3,Brooklyn,47,BK44,Madison,6.957332946,17.44059602,2,2,2,1
24,BK45,3,Brooklyn,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,6.717037463,15.42454763,1,1,1,2
25,BK46,3,Brooklyn,47,BK46,Ocean Parkway South,7.09052891,17.63703883,2,2,2,2
26,BK50,3,Brooklyn,47,BK50,Canarsie,7.123454201,16.66763016,1,2,1,3
27,BK58,3,Brooklyn,47,BK58,Flatlands,7.305549762,17.9836411,2,2,2,3
28,BK60,3,Brooklyn,47,BK60,Prospect Lefferts Gardens-Wingate,7.447606358,20.02275118,3,3,2,2
29,BK61,3,Brooklyn,47,BK61,Crown Heights North,7.468992879,20.31025941,3,3,2,2
30,BK63,3,Brooklyn,47,BK63,Crown Heights South,7.381149845,20.48849215,3,3,2,2
31,BK64,3,Brooklyn,47,BK64,Prospect Heights,7.813974793,21.31149322,3,3,2,3
32,BK68,3,Brooklyn,47,BK68,Fort Greene,8.098453347,21.20986919,3,3,3,3
33,BK69,3,Brooklyn,47,BK69,Clinton Hill,7.994177429,21.05476858,3,3,2,3
34,BK72,3,Brooklyn,47,BK72,Williamsburg,8.411429827,22.10291475,3,3,3,3
35,BK73,3,Brooklyn,47,BK73,North Side-South Side,8.639974126,21.85341049,2,3,3,3
36,BK75,3,Brooklyn,47,BK75,Bedford,7.895009893,20.98793416,3,3,2,3
37,BK76,3,Brooklyn,47,BK76,Greenpoint,8.989979045,21.13143829,2,2,1,3
38,BK77,3,Brooklyn,47,BK77,Bushwick North,8.212940935,20.456783,2,2,1,3
39,BK78,3,Brooklyn,47,BK78,Bushwick South,8.100162083,20.41654224,2,3,1,3
40,BK79,3,Brooklyn,47,BK79,Ocean Hill,7.433675375,19.83438174,2,2,2,3
41,BK81,3,Brooklyn,47,BK81,Brownsville,7.630535265,19.073726,2,3,2,3
42,BK82,3,Brooklyn,47,BK82,East New York,7.562841697,16.97504577,1,1,3,3
43,BK83,3,Brooklyn,47,BK83,Cypress Hills-City Line,7.047710962,18.69253231,1,1,1,2
44,BK85,3,Brooklyn,47,BK85,East New York (Pennsylvania Ave),7.804142796,19.14543409,2,2,2,3
45,BK88,3,Brooklyn,47,BK88,Borough Park,7.273638625,19.33318459,2,3,1,2
46,BK90,3,Brooklyn,47,BK90,East Williamsburg,9.509454776,20.87081834,2,2,2,3
47,BK91,3,Brooklyn,47,BK91,East Flatbush-Farragut,7.335749667,18.38333719,2,2,2,3
48,BK93,3,Brooklyn,47,BK93,Starrett City,6.965474138,15.82733505,2,2,1,2
49,BK95,3,Brooklyn,47,BK95,Erasmus,7.398307306,19.96732596,3,3,2,1
50,BK96,3,Brooklyn,47,BK96,Rugby-Remsen Village,7.779449469,19.6884511,2,2,3,3
51,BK99,3,Brooklyn,47,BK99,Open Space - Brooklyn,6.693005049,12.2694076,1,1,1,2
52,BX01,2,Bronx,5,BX01,Claremont-Bathgate,8.195789937,21.60143653,3,3,3,3
53,BX03,2,Bronx,5,BX03,Eastchester-Edenwald-Baychester,7.468834832,18.43537872,2,1,2,2
54,BX05,2,Bronx,5,BX05,Bedford Park-Fordham North,7.843937589,21.66111421,3,3,2,1
55,BX06,2,Bronx,5,BX06,Belmont,7.564393832,20.13360704,3,2,2,2
56,BX07,2,Bronx,5,BX07,Bronxdale,7.283234445,19.5516704,2,2,1,1
57,BX08,2,Bronx,5,BX08,West Farms-Bronx River,7.982665218,21.15791235,2,2,3,2
58,BX09,2,Bronx,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,7.309340652,18.61635723,2,1,2,2
59,BX10,2,Bronx,5,BX10,Pelham Bay-Country Club-City Island,7.244055946,17.74609107,1,1,2,2
60,BX13,2,Bronx,5,BX13,Co-op City,8.09895427,19.28953564,2,2,3,2
61,BX14,2,Bronx,5,BX14,East Concourse-Concourse Village,8.086189171,22.37395496,3,3,2,3
62,BX17,2,Bronx,5,BX17,East Tremont,8.046749507,21.16078033,3,2,3,3
63,BX22,2,Bronx,5,BX22,North Riverdale-Fieldston-Riverdale,7.117935821,15.85101692,2,1,1,1
64,BX26,2,Bronx,5,BX26,Highbridge,8.270216828,21.65598573,3,3,3,2
65,BX27,2,Bronx,5,BX27,Hunts Point,8.538703999,20.09868285,2,2,2,3
66,BX28,2,Bronx,5,BX28,Van Cortlandt Village,7.762746951,19.67515811,3,3,3,2
67,BX29,2,Bronx,5,BX29,Spuyten Duyvil-Kingsbridge,7.666226034,19.10068501,3,2,3,1
