Geo Join ID,Neighborhood,Data Value,Message
401,Long Island City - Astoria,79.2,
501,Port Richmond,79.2,
405,Ridgewood - Forest Hills,79.5,
107,Hunts Point - Mott Haven,82.5,
301,Washington Heights,83.6,
3,Manhattan,85.1,
302,Central Harlem - Morningside Heights,85.6,
207,East Flatbush - Flatbush,88.2,
1,New York City,89.8,
210,Coney Island - Sheepshead Bay,90.3,
410,Rockaways,92,
402,West Queens,92.1,
310,Lower Manhattan,92.2,
204,East New York,94.9,
2,Brooklyn,102.4,
205,Sunset Park,103.2,
203,Bedford Stuyvesant - Crown Heights,106.8,
303,East Harlem,111.7,
309,Union Square - Lower East Side,117.7,
201,Greenpoint,122.7,
202,Downtown - Heights - Slope,139.6,
211,Williamsburg - Bushwick,177.7,
404,Bayside - Little Neck,24.4,
409,Southeast Queens,41.6,
503,Willowbrook,43.6,
101,Kingsbridge - Riverdale,46.7,
406,Fresh Meadows,47.5,
504,South Beach - Tottenville,48.4,
102,Northeast Bronx,51.1,
403,Flushing - Clearview,55.9,
104,Pelham - Throgs Neck,59.6,
208,Canarsie - Flatlands,60.5,
408,Jamaica,64.6,
5,Staten Island,65.2,
410,Rockaways,65.6,
1,Bronx,68,
103,Fordham - Bronx Pk,68.8,
305,Upper East Side,69.2,
407,Southwest Queens,72.6,
105,Crotona -Tremont,74,
4,Queens,75.4,
106,High Bridge - Morrisania,76.6,
210,Coney Island - Sheepshead Bay,78.4,
209,Bensonhurst - Bay Ridge,80,
206,Borough Park,81.8,
405,Ridgewood - Forest Hills,82.6,
310,Lower Manhattan,84.4,
301,Washington Heights,85.2,
502,Stapleton - St. George,86.1,
306,Chelsea - Clinton,87.8,
308,Greenwich Village - SoHo,89.2,
304,Upper West Side,90.2,
204,East New York,91.6,
1,New York City,92.1,
302,Central Harlem - Morningside Heights,92.7,
401,Long Island City - Astoria,93.1,
307,Gramercy Park - Murray Hill,95.2,
3,Manhattan,95.3,
107,Hunts Point - Mott Haven,97,
501,Port Richmond,99.6,
207,East Flatbush - Flatbush,100.2,
402,West Queens,107.1,
2,Brooklyn,107.7,
205,Sunset Park,118.3,
203,Bedford Stuyvesant - Crown Heights,121.5,
202,Downtown - Heights - Slope,125.4,
201,Greenpoint,125.9,
303,East Harlem,126.7,
309,Union Square - Lower East Side,137.2,
211,Williamsburg - Bushwick,193.9,
410,Rockaways,38.1,
409,Southeast Queens,43.7,
404,Bayside - Little Neck,45.4,
101,Kingsbridge - Riverdale,48.4,
503,Willowbrook,50,
403,Flushing - Clearview,51.2,
406,Fresh Meadows,55.6,
208,Canarsie - Flatlands,61.1,
304,Upper West Side,61.7,
305,Upper East Side,62.8,
102,Northeast Bronx,63.8,
408,Jamaica,66.7,
407,Southwest Queens,70.2,
104,Pelham - Throgs Neck,72.7,
306,Chelsea - Clinton,73.7,
1,Bronx,75,
105,Crotona -Tremont,75.2,
209,Bensonhurst - Bay Ridge,76.2,
106,High Bridge - Morrisania,77.2,
504,South Beach - Tottenville,77.2,
206,Borough Park,77.7,
4,Queens,78.1,
5,Staten Island,79.4,
103,Fordham - Bronx Pk,79.5,
207,East Flatbush - Flatbush,79.7,
405,Ridgewood - Forest Hills,80.7,
210,Coney Island - Sheepshead Bay,83.6,
302,Central Harlem - Morningside Heights,89.5,
301,Washington Heights,90.9,
502,Stapleton - St. George,91.5,
204,East New York,92.6,
1,New York City,94.1,
3,Manhattan,94.2,
107,Hunts Point - Mott Haven,95.8,
501,Port Richmond,96.6,
308,Greenwich Village - SoHo,99,
401,Long Island City - Astoria,101.3,
2,Brooklyn,104.6,
205,Sunset Park,105.3,
307,Gramercy Park - Murray Hill,109.9,
310,Lower Manhattan,116.8,
201,Greenpoint,117,
402,West Queens,120.4,
203,Bedford Stuyvesant - Crown Heights,127.9,
309,Union Square - Lower East Side,136.1,
202,Downtown - Heights - Slope,141.7,
303,East Harlem,150.3,
211,Williamsburg - Bushwick,183.6,
404,Bayside - Little Neck,39.6,
409,Southeast Queens,47.1,
504,South Beach - Tottenville,48.1,
305,Upper East Side,50.9,
503,Willowbrook,52.1,
304,Upper West Side,52.9,
101,Kingsbridge - Riverdale,56.3,
208,Canarsie - Flatlands,57,
5,Staten Island,64.3,
403,Flushing - Clearview,64.9,
209,Bensonhurst - Bay Ridge,66.8,
308,Greenwich Village - SoHo,68.3,
406,Fresh Meadows,70.1,
407,Southwest Queens,71.2,
102,Northeast Bronx,71.4,
410,Rockaways,72.1,
307,Gramercy Park - Murray Hill,72.3,
306,Chelsea - Clinton,72.5,
405,Ridgewood - Forest Hills,77.9,
408,Jamaica,78.2,
310,Lower Manhattan,79.4,
206,Borough Park,80.2,
502,Stapleton - St. George,81.3,
1,Bronx,81.9,
103,Fordham - Bronx Pk,83.4,
104,Pelham - Throgs Neck,83.4,
4,Queens,83.8,
105,Crotona -Tremont,85.2,
106,High Bridge - Morrisania,86,
401,Long Island City - Astoria,86.2,
3,Manhattan,88.8,
207,East Flatbush - Flatbush,89.2,
501,Port Richmond,89.2,
107,Hunts Point - Mott Haven,92.5,
302,Central Harlem - Morningside Heights,95.6,
301,Washington Heights,95.8,
1,New York City,96.4,
210,Coney Island - Sheepshead Bay,96.7,
204,East New York,102.5,
205,Sunset Park,105.5,
2,Brooklyn,110.1,
203,Bedford Stuyvesant - Crown Heights,120.5,
201,Greenpoint,125.6,
402,West Queens,127.5,
309,Union Square - Lower East Side,136,
202,Downtown - Heights - Slope,143.5,
303,East Harlem,156.4,
211,Williamsburg - Bushwick,211.9,
1,Bronx,68.7,
3,Manhattan,71.9,
5,Staten Island,75.8,
4,Queens,83,
1,New York City,88.5,
2,Brooklyn,101.4,
