Geo Join ID,Neighborhood,Data Value,Message
207,East Flatbush - Flatbush,131.6,
204,East New York,133,
303,East Harlem,134.8,
211,Williamsburg - Bushwick,137.8,
501,Port Richmond,139.7,
203,Bedford Stuyvesant - Crown Heights,145.9,
404,Bayside - Little Neck,44,
304,Upper West Side,55.4,
504,South Beach - Tottenville,56,
308,Greenwich Village - SoHo,60.1,
305,Upper East Side,63.8,
503,Willowbrook,63.9,
101,Kingsbridge - Riverdale,73.2,
502,Stapleton - St. George,73.7,
201,Greenpoint,74.5,
5,Staten Island,75.8,
104,Pelham - Throgs Neck,77.5,
409,Southeast Queens,83.4,
406,Fresh Meadows,84.3,
3,Manhattan,86.6,
307,Gramercy Park - Murray Hill,86.7,
309,Union Square - Lower East Side,88.7,
310,Lower Manhattan,90,
306,Chelsea - Clinton,90.1,
202,Downtown - Heights - Slope,90.9,
301,Washington Heights,92.1,
102,Northeast Bronx,100.4,
209,Bensonhurst - Bay Ridge,101,
302,Central Harlem - Morningside Heights,101.8,
410,Rockaways,101.9,
4,Queens,103.1,
407,Southwest Queens,103.7,
405,Ridgewood - Forest Hills,105.1,
210,Coney Island - Sheepshead Bay,105.9,
1,Bronx,106.3,
403,Flushing - Clearview,106.4,
402,West Queens,107.2,
206,Borough Park,108.1,
1,New York City,111.1,
408,Jamaica,113.6,
107,Hunts Point - Mott Haven,113.9,
401,Long Island City - Astoria,115.7,
103,Fordham - Bronx Pk,121,
2,Brooklyn,122.9,
106,High Bridge - Morrisania,123.9,
208,Canarsie - Flatlands,126,
303,East Harlem,132.2,
105,Crotona -Tremont,133.7,
207,East Flatbush - Flatbush,135.4,
204,East New York,136.3,
501,Port Richmond,139.8,
211,Williamsburg - Bushwick,144.9,
203,Bedford Stuyvesant - Crown Heights,158.5,
205,Sunset Park,166.9,
404,Bayside - Little Neck,41.6,
308,Greenwich Village - SoHo,51.7,
304,Upper West Side,63.7,
310,Lower Manhattan,68.5,
306,Chelsea - Clinton,76.2,
201,Greenpoint,77.2,
305,Upper East Side,77.3,
101,Kingsbridge - Riverdale,79.9,
409,Southeast Queens,80.7,
503,Willowbrook,81.6,
309,Union Square - Lower East Side,84,
406,Fresh Meadows,84.4,
405,Ridgewood - Forest Hills,85,
3,Manhattan,90.2,
210,Coney Island - Sheepshead Bay,90.3,
403,Flushing - Clearview,93.4,
410,Rockaways,94.3,
402,West Queens,94.5,
104,Pelham - Throgs Neck,95.7,
504,South Beach - Tottenville,95.8,
209,Bensonhurst - Bay Ridge,96.3,
202,Downtown - Heights - Slope,96.3,
4,Queens,96.4,
401,Long Island City - Astoria,99.2,
407,Southwest Queens,99.3,
206,Borough Park,101.3,
301,Washington Heights,104,
307,Gramercy Park - Murray Hill,104.4,
5,Staten Island,110,
102,Northeast Bronx,112.2,
1,New York City,113.3,
1,Bronx,115.2,
208,Canarsie - Flatlands,117.6,
2,Brooklyn,118.4,
302,Central Harlem - Morningside Heights,119.5,
103,Fordham - Bronx Pk,120.6,
107,Hunts Point - Mott Haven,122.4,
211,Williamsburg - Bushwick,130.5,
207,East Flatbush - Flatbush,131.5,
408,Jamaica,133.1,
502,Stapleton - St. George,133.4,
303,East Harlem,134.8,
106,High Bridge - Morrisania,134.8,
105,Crotona -Tremont,137.4,
501,Port Richmond,140,
204,East New York,143.2,
205,Sunset Park,149.6,
203,Bedford Stuyvesant - Crown Heights,166.6,
404,Bayside - Little Neck,47.8,
304,Upper West Side,56.1,
504,South Beach - Tottenville,57,
409,Southeast Queens,65.3,
308,Greenwich Village - SoHo,65.6,
201,Greenpoint,69.7,
305,Upper East Side,77.6,
406,Fresh Meadows,81,
202,Downtown - Heights - Slope,81.2,
309,Union Square - Lower East Side,82.4,
403,Flushing - Clearview,82.9,
5,Staten Island,85.6,
407,Southwest Queens,86,
301,Washington Heights,86.8,
3,Manhattan,87.6,
101,Kingsbridge - Riverdale,88.5,
306,Chelsea - Clinton,90.9,
102,Northeast Bronx,91,
302,Central Harlem - Morningside Heights,91.6,
503,Willowbrook,92,
4,Queens,94.2,
502,Stapleton - St. George,100.1,
405,Ridgewood - Forest Hills,100.3,
310,Lower Manhattan,101.4,
402,West Queens,102.4,
401,Long Island City - Astoria,102.7,
307,Gramercy Park - Murray Hill,102.9,
209,Bensonhurst - Bay Ridge,109.5,
410,Rockaways,110.2,
206,Borough Park,110.2,
408,Jamaica,110.7,
208,Canarsie - Flatlands,112.3,
1,New York City,112.4,
104,Pelham - Throgs Neck,115.2,
210,Coney Island - Sheepshead Bay,118.2,
2,Brooklyn,120.8,
103,Fordham - Bronx Pk,122.8,
1,Bronx,123.3,
207,East Flatbush - Flatbush,123.8,
501,Port Richmond,135.9,
211,Williamsburg - Bushwick,141.3,
107,Hunts Point - Mott Haven,141.5,
106,High Bridge - Morrisania,144.1,
203,Bedford Stuyvesant - Crown Heights,146.5,
105,Crotona -Tremont,149.9,
204,East New York,153.3,
303,East Harlem,155.5,
205,Sunset Park,179.8,
404,Bayside - Little Neck,48.7,
304,Upper West Side,51.9,
306,Chelsea - Clinton,63.3,
409,Southeast Queens,64.2,
308,Greenwich Village - SoHo,64.5,
504,South Beach - Tottenville,65.3,
305,Upper East Side,71.1,
503,Willowbrook,72.8,
201,Greenpoint,76.3,
406,Fresh Meadows,78.7,
3,Manhattan,82.1,
403,Flushing - Clearview,83.1,
301,Washington Heights,84,
101,Kingsbridge - Riverdale,85.5,
302,Central Harlem - Morningside Heights,86.5,
410,Rockaways,86.8,
309,Union Square - Lower East Side,90.1,
209,Bensonhurst - Bay Ridge,91.2,
202,Downtown - Heights - Slope,91.4,
5,Staten Island,92,
4,Queens,97,
307,Gramercy Park - Murray Hill,97.5,
405,Ridgewood - Forest Hills,101,
208,Canarsie - Flatlands,101.4,
407,Southwest Queens,104.6,
104,Pelham - Throgs Neck,105.2,
206,Borough Park,105.4,
401,Long Island City - Astoria,106.8,
310,Lower Manhattan,107.4,
402,West Queens,109.1,
210,Coney Island - Sheepshead Bay,109.4,
102,Northeast Bronx,110.9,
1,New York City,112.3,
408,Jamaica,114.6,
103,Fordham - Bronx Pk,115.8,
501,Port Richmond,120.3,
2,Brooklyn,120.5,
211,Williamsburg - Bushwick,120.8,
1,Bronx,124.5,
502,Stapleton - St. George,129.2,
106,High Bridge - Morrisania,136.6,
207,East Flatbush - Flatbush,139.6,
303,East Harlem,142.3,
205,Sunset Park,154.3,
107,Hunts Point - Mott Haven,154.4,
203,Bedford Stuyvesant - Crown Heights,158.8,
204,East New York,165.1,
105,Crotona -Tremont,166.4,
404,Bayside - Little Neck,26.1,
304,Upper West Side,40.6,
504,South Beach - Tottenville,47.4,
201,Greenpoint,51.8,
308,Greenwich Village - SoHo,53.2,
310,Lower Manhattan,54,
305,Upper East Side,64.5,
503,Willowbrook,66.6,
406,Fresh Meadows,68.8,
306,Chelsea - Clinton,70.7,
409,Southeast Queens,71.8,
5,Staten Island,72,
3,Manhattan,78.9,
405,Ridgewood - Forest Hills,79,
209,Bensonhurst - Bay Ridge,80.1,
202,Downtown - Heights - Slope,80.2,
403,Flushing - Clearview,80.8,
309,Union Square - Lower East Side,82.6,
301,Washington Heights,87.7,
502,Stapleton - St. George,88.4,
101,Kingsbridge - Riverdale,90.1,
4,Queens,92.4,
401,Long Island City - Astoria,92.4,
302,Central Harlem - Morningside Heights,95.4,
407,Southwest Queens,95.7,
206,Borough Park,95.8,
210,Coney Island - Sheepshead Bay,96.5,
208,Canarsie - Flatlands,98.6,
104,Pelham - Throgs Neck,99.9,
307,Gramercy Park - Murray Hill,100.5,
102,Northeast Bronx,102.1,
1,New York City,103.1,
402,West Queens,103.3,
2,Brooklyn,105.3,
205,Sunset Park,112,
410,Rockaways,113.2,
501,Port Richmond,117.6,
408,Jamaica,119.3,
1,Bronx,120,
106,High Bridge - Morrisania,121.6,
207,East Flatbush - Flatbush,126.9,
203,Bedford Stuyvesant - Crown Heights,131.7,
211,Williamsburg - Bushwick,133,
204,East New York,133.2,
105,Crotona -Tremont,137.3,
103,Fordham - Bronx Pk,137.9,
303,East Harlem,145.2,
107,Hunts Point - Mott Haven,150.8,
3,Manhattan,65.1,
5,Staten Island,85.7,
1,Bronx,91.4,
1,New York City,95.1,
2,Brooklyn,96.7,
4,Queens,98,
